title,author,narrator,series,runtime (in minutes),release_date,language,total_ratings,stars (out of 5),price (in rupees)
The Art of Influencing People,Virender Kapoor,Rajat Verman,NA,38,03-05-18,English,26,4,0
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,Ashish Bhandari,NA,1433,10-06-20,Hindi,138,4.5,0
Kaisa Kutta Hai [What Kind of Dog Is That],Rahgir,Rishi Upadhyay,NA,158,07-02-24,Hindi,1,4,233.00
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Avdhesh Tondak,NA,464,19-07-21,Hindi,159,5,0
41 Anmol Kahaniya [41 Priceless Stories],Premchand,Prachi Chaube,NA,928,14-10-21,Hindi,43,4.5,1003.00
Kautilya Arthshastra (Hindi Edition),Chanakya,Ashwini Walia,NA,360,26-02-20,Hindi,40,4.5,0
An Economic History of the World since 1400,"Donald J. Harreld, The Great Courses",Donald J. Harreld,The Great Courses: Business & Economics,1465,19-08-16,English,101,4.5,1774.00
Home,Whitney Hanson,Whitney Hanson,NA,121,22-02-24,English,0,0,759.00
Lapoojhanna (Hindi Edition),Ashok Pande,Anil Datt,NA,575,07-02-24,Hindi,1,4,668.00
Chandpur Ki Chanda (Hindi Edition),Atul Kumar Rai,Kumud Soney,NA,717,07-02-24,Hindi,0,0,836.00
Understanding the Mysteries of Human Behavior,"Mark Leary, The Great Courses",Mark Leary,The Great Courses: Psychology,731,08-07-13,English,72,4.5,1171.00
It's Not You,Ramani Durvasula,Ramani Durvasula,NA,691,22-02-24,English,0,0,957.00
The Guy Next Door (Hindi Edition),Nylla C,Pallavi Bharti,NA,2203,15-12-23,Hindi,17,5,0
Supercommunicators,Charles Duhigg,Charles Duhigg,NA,448,22-02-24,English,0,0,1093.00
The First Rule of Mastery,"Michael Gervais, Kevin Lake - contributor",Michael Gervais,NA,303,20-02-24,English,0,0,586.00
The Blue Umbrella,Ruskin Bond,Adnan Kapadia,NA,51,01-01-17,English,195,4.5,0
Pride and Prejudice,Jane Austen,Rosamund Pike,Jane Austen's Novels,695,08-12-15,English,460,5,836.00
Gaban [Embezzlement],Munshi Premchand,Sameer Goswami,NA,696,21-02-22,Hindi,63,4.5,0
Mahabharat Katha [Mahabharata Story],Amritlal Nagar,Mala Mangla,NA,641,14-10-21,Hindi,77,4.5,0
A Brief History of the World,"Peter N. Stearns, The Great Courses",Peter N. Stearns,The Great Courses: Modern History,1142,08-07-13,English,21,4.5,1405.00
Great Mythologies of the World,"The Great Courses, Grant L. Voth, Julius H. Bailey, Kathryn McClymond, Robert André LaFleur","Grant L. Voth, Julius H. Bailey, Kathryn McClymond, Robert André LaFleur",The Great Courses: World Literature,1896,21-08-15,English,20,4.5,2008.00
Sunderkand (Hindi Edition),Goswami Tulsidas,Neeraj Yadav,NA,203,25-10-22,Hindi,102,5,501.00
Satya Ke Sath Mere Prayog [My Experiment with Truth],M. K. Gandhi,Babla Kochhar,NA,1374,25-06-19,Hindi,213,4.5,0
The Art of Focus,Dan Koe,Dan Koe,NA,412,16-01-24,English,3,5,668.00
Forge Your Future,A. P. J. Kalam,Errol Rodrigues,NA,337,01-11-18,English,23,4.5,0
You Are the Best Wife,Ajay K. Pandey,Shlok Menon,NA,449,09-01-17,English,352,4.5,0
Panchatantra (Hindi Edition),Vishnu Sharma,Atul Arya,NA,341,29-06-22,Hindi,61,5,0
Million Dollar Weekend,Noah Kagan,Noah Kagan,NA,273,30-01-24,English,10,5,957.00
"Dont Lose Out, Work Out!",Rujuta Diwekar,Farah Bala,NA,474,01-01-17,English,78,4.5,0
Your Deceptive Mind: A Scientific Guide to Critical Thinking Skills,"Steven Novella, The Great Courses",Steven Novella,The Great Courses: Professional,759,08-07-13,English,34,4.5,1171.00
